type;tag_address;anchor_address;ground_truth;range;receive_power;first_path_power;receive_quality;temperature;voltage
0;177;178;2.0;156.31;-73.76;194.52;194.62;46.94;3.29422
0;177;179;2.0;156.37;-69.37;194.52;194.62;-100.12;2.560116
0;177;178;2.0;156.25;-73.99;194.52;194.62;-100.12;2.560116
0;177;179;2.0;156.4;-69.57;194.52;194.62;-100.12;2.560116
0;177;178;2.0;156.32;-73.34;194.52;194.62;-100.12;2.560116
0;177;179;2.0;156.4;-69.94;194.52;194.62;-100.12;2.560116
0;177;178;2.0;156.28;-73.89;194.52;194.62;45.8;3.3
0;177;179;2.0;156.4;-69.06;194.52;194.62;45.8;3.3
0;177;178;2.0;156.25;-74.62;194.52;194.62;45.8;3.3
0;177;179;2.0;156.41;-69.66;194.52;194.62;45.8;3.3
0;177;178;2.0;156.29;-74.05;194.52;194.62;-100.12;2.560116
0;177;179;2.0;156.4;-69.86;194.52;194.62;-100.12;2.560116
0;177;178;2.0;156.29;-73.18;194.52;194.62;45.8;3.30578
0;177;179;2.0;156.41;-70.27;194.52;194.62;45.8;3.3
0;177;178;2.0;156.3;-73.57;194.52;194.62;45.8;3.3
0;177;179;2.0;156.43;-69.9;194.52;194.62;-100.12;2.548555
0;177;178;2.0;156.28;-73.3;194.52;194.62;-100.12;2.560116
0;177;179;2.0;156.41;-69.41;194.52;194.62;-100.12;2.560116
0;177;178;2.0;156.32;-72.1;194.52;194.62;-100.12;2.560116
0;177;179;2.0;156.42;-69.99;194.52;194.62;45.8;3.3
0;177;178;2.0;156.28;-73.84;194.52;194.62;-100.12;2.560116
0;177;179;2.0;156.45;-69.04;194.52;194.62;46.94;3.3
0;177;178;2.0;156.25;-74.73;194.52;194.62;-100.12;2.548555
0;177;179;2.0;156.43;-68.65;194.52;194.62;-100.12;2.560116
0;177;178;2.0;156.26;-73.55;194.52;194.62;45.8;3.3
0;177;179;2.0;156.4;-68.96;194.52;194.62;45.8;3.3
0;177;178;2.0;156.31;-73.02;194.52;194.62;45.8;3.3
0;177;179;2.0;156.41;-69.17;194.52;194.62;-100.12;2.560116
0;177;178;2.0;156.29;-73.86;194.52;194.62;-100.12;2.548555
0;177;179;2.0;156.4;-69.5;194.52;194.62;46.94;3.3
0;177;178;2.0;156.26;-73.88;194.52;194.62;-100.12;2.560116
