time;sec;nsec;beacon_id;pdf_type;mean_x;mean_y;cov_00;cov_01;cov_10;cov_11
1513594510.885055;1513594510;885055065;180;1;0.6426345017068766;-0.8357354725006925;4.88180636910857e-06;-1.105217028764709e-06;-1.1052170287647085e-06;4.752285166003869e-06
1513594510.885055;1513594510;885055065;179;1;4.561519786162095;-0.45369473002751703;3.356823581980732e-06;1.7743753417594094e-06;1.7743753417594098e-06;6.418378613757673e-06
1513594511.02379;1513594511;23789882;180;1;0.6426345017068766;-0.8357354725006925;4.88180636910857e-06;-1.105217028764709e-06;-1.1052170287647085e-06;4.752285166003869e-06
1513594511.02379;1513594511;23789882;179;1;4.561519786162095;-0.45369473002751703;3.356823581980732e-06;1.7743753417594094e-06;1.7743753417594098e-06;6.418378613757673e-06
1513594511.051709;1513594511;51708936;180;1;0.6426345017068766;-0.8357354725006925;4.88180636910857e-06;-1.105217028764709e-06;-1.1052170287647085e-06;4.752285166003869e-06
1513594511.051709;1513594511;51708936;177;1;0.45255216539740456;1.4561382291147236;7.806321464566126e-06;2.4522679399848305e-06;2.4522679399848283e-06;9.080646921103735e-06
1513594511.051709;1513594511;51708936;179;1;4.560682078525665;-0.45391269855616534;3.3336783933647356e-06;1.7683530465235532e-06;1.7683530465235536e-06;6.4168116340925025e-06
1513594511.217798;1513594511;217797994;180;1;0.6426345017068766;-0.8357354725006925;4.88180636910857e-06;-1.105217028764709e-06;-1.1052170287647085e-06;4.752285166003869e-06
1513594511.217798;1513594511;217797994;179;1;4.5598198896980495;-0.4541348197998434;3.3109076368352203e-06;1.7624867344143878e-06;1.7624867344143882e-06;6.415300326476635e-06
1513594511.341152;1513594511;341151952;180;1;0.6428875828662566;-0.8356499810953076;4.846486957544477e-06;-1.1171480082946617e-06;-1.1171480082946613e-06;4.748254853316302e-06
1513594511.341152;1513594511;341151952;179;1;4.5598198896980495;-0.4541348197998434;3.3109076368352203e-06;1.7624867344143878e-06;1.7624867344143882e-06;6.415300326476635e-06
1513594511.38286;1513594511;382859945;180;1;0.6429448087195584;-0.8356295331813742;4.8466299518071625e-06;-1.1172263148996242e-06;-1.1172263148996238e-06;4.7481851761659474e-06
